"","State","Year","Month","Cocaine","Synthetic","Heroin","Methadone","NaturalOpioids","Psychostimulants"
"1","CT",2015,"January",118,96,298,58,170,18
"2","CT",2016,"January",171,240,403,72,180,24
"3","CT",2017,"January",250,527,470,67,209,23
"4","CT",2018,"January",280,682,405,97,180,39
"5","MD",2015,"January",109,237,327,150,400,17
"6","MD",2016,"January",154,386,418,179,394,21
"7","MD",2017,"January",329,1224,679,200,713,48
"8","MD",2018,"January",553,1612,481,241,538,50
"9","ME",2015,"January",22,59,38,35,82,15
"10","ME",2016,"January",32,111,49,34,108,23
"11","ME",2017,"January",61,212,60,40,129,31
"12","ME",2018,"January",92,265,72,29,74,43
"13","NC",2015,"January",220,209,270,127,479,31
"14","NC",2016,"January",343,324,402,106,565,71
"15","NC",2017,"January",510,643,561,122,598,112
"16","NC",2018,"January",725,1321,519,103,542,185
"17","NH",2015,"January",34,171,97,39,84,4
"18","NH",2016,"January",48,285,78,21,61,6
"19","NH",2017,"January",52,354,24,22,62,12
"20","NH",2018,"January",41,388,23,12,50,23
"21","NM",2015,"January",74,67,158,42,223,127
"22","NM",2016,"January",44,39,139,37,164,113
"23","NM",2017,"January",61,82,166,42,158,134
"24","NM",2018,"January",51,76,140,30,146,161
"25","NV",2015,"January",33,31,68,64,231,152
"26","NV",2016,"January",40,37,90,57,272,193
"27","NV",2017,"January",50,48,103,57,231,253
"28","NV",2018,"January",57,75,99,46,256,323
"29","NY",2015,"January",277,248,544,126,431,41
"30","NY",2016,"January",366,569,682,121,479,45
"31","NY",2017,"January",531,1160,769,122,590,85
"32","NY",2018,"January",733,1505,770,120,553,135
"33","OK",2015,"January",20,72,27,71,368,164
"34","OK",2016,"January",29,93,34,56,270,197
"35","OK",2017,"January",32,102,51,43,289,267
"36","OK",2018,"January",47,94,59,31,220,276
"37","OR",2015,"January",20,32,126,62,134,107
"38","OR",2016,"January",23,32,109,65,139,129
"39","OR",2017,"January",29,42,108,41,135,150
"40","OR",2018,"January",37,91,123,39,127,185
"41","RI",2015,"January",70,90,71,27,80,4
"42","RI",2016,"January",85,137,47,30,104,7
"43","RI",2017,"January",121,206,23,34,90,13
"44","RI",2018,"January",109,200,12,28,76,14
"45","SC",2015,"January",94,110,64,75,317,66
"46","SC",2016,"January",105,149,96,57,317,91
"47","SC",2017,"January",147,256,111,51,341,135
"48","SC",2018,"January",234,396,142,42,321,190
"49","US",2015,"January",5496,5766,10788,3413,12269,4402
"50","US",2016,"January",6988,9946,13221,3276,12729,5922
"51","US",2017,"January",10955,20933,15868,3388,14728,7824
"52","US",2018,"January",14192,28792,15340,3188,14433,10584
"53","UT",2015,"January",38,68,114,48,375,109
"54","UT",2016,"January",46,72,130,45,381,153
"55","UT",2017,"January",50,78,170,40,317,146
"56","UT",2018,"January",49,83,141,51,298,201
"57","VA",2015,"January",125,182,246,99,320,43
"58","VA",2016,"January",168,263,339,73,271,45
"59","VA",2017,"January",264,694,454,71,346,69
"60","VA",2018,"January",344,785,529,86,334,106
"61","VT",2015,"January",11,20,31,4,18,5
"62","VT",2016,"January",12,33,32,9,24,0
"63","VT",2017,"January",25,61,51,12,22,4
"64","VT",2018,"January",43,74,40,15,28,9
"65","WA",2015,"January",87,67,288,110,291,242
"66","WA",2016,"January",86,61,323,119,272,316
"67","WA",2017,"January",82,101,286,128,283,339
"68","WA",2018,"January",104,144,324,125,249,393
"69","WV",2015,"January",60,128,178,41,374,40
"70","WV",2016,"January",102,230,199,30,356,68
"71","WV",2017,"January",160,475,246,27,324,122
"72","WV",2018,"January",194,618,251,38,271,242
"73","YC",2015,"January",231,39,299,112,197,37
"74","YC",2016,"January",308,154,421,125,222,49
"75","YC",2017,"January",537,629,597,178,339,60
"76","YC",2018,"January",640,812,645,178,293,65
