"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872862329287,4.6825364106785,0.0744769786949277,0.000506050244091867,0.0354497751295908,0.122304680488731,FALSE,3738.24846367188,0.747649692734376,9863.45241074375,0.0591448916800581,0.0125407492102155,0.379,NA,NA,200,4000,""
2,"damsleth","Damsleth n=5",2,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"damsleth","Damsleth n=5",2,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999871926935781,4.68328818105847,0.0737252083149551,0.000502673741767782,0.0332394500453556,0.122831740741223,FALSE,3460.06473006004,0.692012946012008,9453.72877065584,0.0722523610464385,-0.0291468964969689,0.366,NA,NA,200,4000,""
3,"damsleth","Damsleth n=5",3,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"damsleth","Damsleth n=5",3,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.99987217415563,4.68313237454383,0.0738810148295907,0.0005070185920635,0.0339083635521784,0.121074446611484,FALSE,3499.09156412157,0.699818312824314,10291.4457768281,0.0666713920752842,0.00476414174106755,0.34,NA,NA,200,4000,""
4,"damsleth","Damsleth n=5",4,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,"damsleth","Damsleth n=5",4,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872148639617,4.68296079054429,0.0740525988291338,0.00050315196038973,0.0334590109249756,0.121922972839913,FALSE,3555.23769838377,0.711047539676755,9405.39073646501,0.0587434608177859,-0.00340519224220218,0.378,NA,NA,200,4000,""
5,"damsleth","Damsleth n=5",5,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,"damsleth","Damsleth n=5",5,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872226153074,4.68286578945137,0.0741475999220529,0.000532648797477474,0.0336854759936429,0.122391667366281,FALSE,3613.92615966161,0.722785231932321,9793.83783106126,0.0505815497022427,0.0205068959563235,0.369,NA,NA,200,4000,""
6,"damsleth","Damsleth n=5",6,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
6,"damsleth","Damsleth n=5",6,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.99987236368208,4.68266390103039,0.0743494883430305,0.000530610094377143,0.0333185319528794,0.123369409481491,FALSE,3688.64408736493,0.737728817472987,9580.89373341541,0.0403707129441435,0.00722389084847088,0.385,NA,NA,200,4000,""
7,"damsleth","Damsleth n=5",7,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
7,"damsleth","Damsleth n=5",7,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.99987129327985,4.68269566171576,0.0743177276576641,0.000531542714940615,0.0332364886070293,0.122223205137294,FALSE,3611.3684847104,0.722273696942079,9355.87690339481,0.0509346267191528,-0.000669342495343107,0.386,NA,NA,200,4000,""
8,"damsleth","Damsleth n=5",8,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
8,"damsleth","Damsleth n=5",8,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872050834452,4.68269308928444,0.0743203000889842,0.000527741886343672,0.0336584632623822,0.122701758317142,FALSE,3744.9364596592,0.74898729193184,10013.1990899979,0.0328080298444908,-0.0295454816595323,0.374,NA,NA,200,4000,""
9,"damsleth","Damsleth n=5",9,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
9,"damsleth","Damsleth n=5",9,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872950299336,4.68211530891958,0.0748980804538416,0.000518924877558309,0.0351136136277001,0.122687783939459,FALSE,3482.323241934,0.6964646483868,10302.7314850118,0.0363671434861004,0.0109836425998361,0.338,NA,NA,200,4000,""
10,"damsleth","Damsleth n=5",10,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
10,"damsleth","Damsleth n=5",10,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872351154093,4.68322179304541,0.0737915963280122,0.000537405263161538,0.033605057321806,0.123386211679096,FALSE,3679.54404678406,0.735908809356811,11607.3944693503,0.041603683147555,-0.00313230211171695,0.317,NA,NA,200,4000,""
11,"damsleth","Damsleth n=5",11,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
11,"damsleth","Damsleth n=5",11,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999871792057479,4.68301351232967,0.0739998770437558,0.000518736595018683,0.0324614874451892,0.122300120561243,FALSE,3628.18480184259,0.725636960368517,11198.1012402549,0.0486175397458235,0.0149770859507719,0.324,NA,NA,200,4000,""
12,"damsleth","Damsleth n=5",12,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
12,"damsleth","Damsleth n=5",12,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872922770808,4.68245616223609,0.0745572271373305,0.000524348764547481,0.0335060334654566,0.123714810209026,FALSE,3642.56758091814,0.728513516183628,11004.7358940125,0.0466438563696378,0.00377250926580871,0.331,NA,NA,200,4000,""
13,"damsleth","Damsleth n=5",13,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
13,"damsleth","Damsleth n=5",13,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872450378248,4.68271193958051,0.0743014497929115,0.000515789692537069,0.0339749653722886,0.120556005121178,FALSE,3353.33708371812,0.670667416743624,9950.55514456415,0.0640955605330216,0.00189604543095739,0.337,NA,NA,200,4000,""
14,"damsleth","Damsleth n=5",14,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
