"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.0319709509584655,0.115081376556148,4.86592755997211,5.80274852126229,1.50435213481966,10.5791104088519,TRUE,104.102450563703,0.0208204901127406,44.5644052070646,0.932428423564908,0.536683785235823,2.336,NA,NA,200,4000,""
2,"damsleth","Damsleth n=5",2,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"damsleth","Damsleth n=5",2,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.019141572515162,0.100828254440707,4.66539588664099,4.72828644972917,1.41933822333545,9.58233871359042,TRUE,167.876436704572,0.0335752873409144,71.2851111272068,0.919423362161448,0.428444074609084,2.355,NA,NA,200,4000,""
3,"damsleth","Damsleth n=5",3,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"damsleth","Damsleth n=5",3,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.0319161350570222,0.112898602063952,4.75042386330501,5.44843026754889,1.47160503595604,10.5596417001231,TRUE,148.996180449359,0.0297992360898718,62.4460102470071,0.928159919657654,0.482379384988742,2.386,NA,NA,200,4000,""
4,"damsleth","Damsleth n=5",4,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,"damsleth","Damsleth n=5",4,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.067306567977214,0.255527288192909,4.98109054328827,5.2665812635275,1.45108248878501,10.2493828697405,TRUE,154.182356457491,0.0308364712914982,64.9462327116644,0.92575218109503,0.460024588956747,2.374,NA,NA,200,4000,""
5,"damsleth","Damsleth n=5",5,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,"damsleth","Damsleth n=5",5,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.0301011445494413,0.198089517679638,4.55896944358385,4.6198593427419,1.25876398558771,9.50960015013043,TRUE,165.860358648871,0.0331720717297742,72.9698014293316,0.920352494765945,0.425821587412124,2.273,NA,NA,200,4000,""
6,"damsleth","Damsleth n=5",6,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
6,"damsleth","Damsleth n=5",6,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.058109880331743,0.329425023186306,5.0855575502556,6.71128467282383,1.39252101823515,11.2032281346913,TRUE,128.049987777008,0.0256099975554016,56.6592866269947,0.93794599245711,0.500935243030944,2.26,NA,NA,200,4000,""
7,"damsleth","Damsleth n=5",7,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
7,"damsleth","Damsleth n=5",7,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.035833472880945,0.162775506077131,4.85154097926745,5.29823073023358,1.21068715491589,10.0688205054938,TRUE,148.704203116393,0.0297408406232786,63.467436242592,0.928295652341867,0.470854530564701,2.343,NA,NA,200,4000,""
8,"damsleth","Damsleth n=5",8,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
8,"damsleth","Damsleth n=5",8,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.067018086188949,0.323899683292268,4.43598122574625,4.33550206449335,1.42034021778716,9.217491219489,TRUE,174.836419207244,0.0349672838414487,76.015834437932,0.916222672801712,0.376481897635215,2.3,NA,NA,200,4000,""
9,"damsleth","Damsleth n=5",9,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
