"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"damsleth","Damsleth n=10",5,10,0,NA,"Numerical grid",NA,100,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1.27874382490321
"damsleth","Damsleth n=10",5,10,0,NA,"P-IG Gibbs",200,100,0.0494259161468394,0.00267838411737997,0.251528355465156,0.0139154305366076,0.0174752100799664,34.5016065654615,0.957436836046949,0.647593011190435,1,2.453,2.6624,1.27514466384576
"damsleth","Damsleth n=30",5,30,0,NA,"Numerical grid",NA,100,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.75938935884383
"damsleth","Damsleth n=30",5,30,0,NA,"P-IG Gibbs",200,100,0.0338092075147983,0.00156517773711354,0.0516819764606699,0.0028260024978292,0.0351752703547518,51.1511784755618,0.91534687906223,0.415089603944251,0.18,3.441,3.58739999999999,-1.76313084122174
"damsleth","Damsleth n=5",5,5,0,NA,"Numerical grid",NA,100,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.24120680941218
"damsleth","Damsleth n=5",5,5,0,NA,"P-IG Gibbs",200,100,0.0343059067133721,0.00153597932720364,0.159306872930506,0.00799502961242217,0.0293038997908873,65.4449498304782,0.928422345374406,0.475000455838113,1,2.261,2.3766,-0.221358972081025
"extreme","alpha=0.05, n=100",0.05,100,0,NA,"Numerical grid",NA,20,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.00146506936477666
"extreme","alpha=0.05, n=100",0.05,100,0,NA,"P-IG Gibbs",200,20,0.0138741477068607,0.00111306614325132,0.000113681625054881,1.11052233691741e-05,0.724798437167236,633.941040350815,0.0454549403546868,-0.00300388968318313,1,5.86949999999979,5.98340000000016,0.00148336180772668
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Numerical grid",NA,20,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.00280465450074962
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"P-IG Gibbs",200,20,0.0143650949462306,0.00109911338807463,0.000223163172753964,2.3118039515224e-05,0.654821239621103,579.399678296244,0.0946382508416159,0.00180599146093783,1,5.8769999999995,5.96219999999994,0.00278918421065487
"main","alpha=0.1, n=10",0.1,10,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.85,NA,NA,0.0416523802342791
"main","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs",200,200,0.0139544135723823,0.000299958668742008,0.000942638621400809,3.64586594211913e-05,0.68821844374406,1495.76322143879,0.086470683263153,0.000787698666848812,0.85,2.29249999999957,2.44030000000004,0.041675727777834
"main","alpha=0.1, n=50",0.1,50,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.9,NA,NA,0.00946582873971758
"main","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs",200,200,0.0138127485962278,0.000294960879527369,0.00033391001505842,9.76706762375267e-06,0.661173767732911,945.643500043486,0.0957940056843815,-0.0011827353933201,0.895,3.53449999999975,4.08909999999994,0.00945733012823506
"main","alpha=0.1, n=500",0.1,500,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.95,NA,NA,0.00102345532965569
"main","alpha=0.1, n=500",0.1,500,0,NA,"P-IG Gibbs",200,200,0.0143615821800901,0.000322384674421592,0.000103412358475883,2.70744295994841e-06,0.653692615452998,176.461376247724,0.0994334697160004,-0.00136300711016703,0.955,18.6310000000001,19.323,0.00102294682105387
"main","alpha=0.5, n=10",0.5,10,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.87,NA,NA,0.264380156998731
"main","alpha=0.5, n=10",0.5,10,0,NA,"P-IG Gibbs",200,200,0.0177840105433605,0.000561537670718435,0.00910936116682833,0.000831771978302006,0.297406379256152,641.047049556657,0.481653957178896,0.0080499139321555,0.875,2.29049999999995,2.42430000000001,0.263657086337136
"main","alpha=0.5, n=50",0.5,50,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.93,NA,NA,0.0520624036762308
"main","alpha=0.5, n=50",0.5,50,0,NA,"P-IG Gibbs",200,200,0.0166746444662622,0.000429740030334926,0.00243936248543666,9.43161954000875e-05,0.300561390713593,447.142752473683,0.450800783922673,-0.00202665596907955,0.93,3.45649999999978,4.10999999999972,0.0522765457889889
"main","alpha=0.5, n=500",0.5,500,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.955,NA,NA,0.00550558514255571
"main","alpha=0.5, n=500",0.5,500,0,NA,"P-IG Gibbs",200,200,0.0163223153443944,0.000422947961648503,0.000709826523955353,2.32057116249087e-05,0.311571069262231,84.7662041614014,0.438761726117879,-0.000693391127622013,0.955,18.604,19.4199999999998,0.0054660434142031
"main","alpha=1, n=10",1,10,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.825,NA,NA,0.713255850115186
"main","alpha=1, n=10",1,10,0,NA,"P-IG Gibbs",200,200,0.0224726413352149,0.000849916935749858,0.0307990850855694,0.00295345719023712,0.12489279124923,291.382200676896,0.727475878390443,0.104996780280498,0.825,2.23999999999984,2.45899999999983,0.713777303788923
"main","alpha=1, n=50",1,50,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.94,NA,NA,0.0896755654544514
"main","alpha=1, n=50",1,50,0,NA,"P-IG Gibbs",200,200,0.0198100734755988,0.00051498164285109,0.00655870074469468,0.000253663630629696,0.151018321121108,189.780375875548,0.682741446037128,0.0230218297928312,0.94,3.89700000000005,4.15289999999986,0.0894351070484707
"main","alpha=1, n=500",1,500,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.965,NA,NA,0.00640627555959338
"main","alpha=1, n=500",1,500,0,NA,"P-IG Gibbs",200,200,0.0191413465290109,0.00059372327184653,0.00187574379094936,7.25863302751127e-05,0.155190601149481,42.4226745191324,0.677481804932247,0.0205124872331833,0.965,18.2520000000002,19.2168999999999,0.00630672990753636
"main","alpha=2, n=10",2,10,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.835,NA,NA,1.60371849194109
"main","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs",200,200,0.0346302483378529,0.0017373758464252,0.12203969598625,0.0156343286008479,0.0449023138134311,104.692902423186,0.880816154904323,0.347404062991633,0.84,2.24449999999979,2.47519999999992,1.61659305492405
"main","alpha=2, n=50",2,50,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.935,NA,NA,0.166140921752285
"main","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs",200,200,0.0281097422620501,0.000986059787906959,0.0226926105619517,0.00108587833105783,0.0617766581593965,78.8101000884155,0.853792143002714,0.217296804215749,0.91,3.9079999999999,4.19399999999997,0.165920801839891
"main","alpha=2, n=500",2,500,0,NA,"Numerical grid",NA,200,0,0,0,0,NA,NA,NA,NA,0.945,NA,NA,0.0306890239038263
