"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0246119609105588,2.06836415526356e-06,10,11899.2397194307,0.101545143629909,"Numerical grid","ok",0,0,0.101827253399752,0.000988632446977174,0.049848423942483,0.171536871370548,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0246119609105588,2.06836415526356e-06,10,11899.2397194307,0.101545143629909,"Miller-Gamma","ok",0.00335053354700254,0.000203472770752779,0.101545631582789,0.000983092614657324,0.0497007759838473,0.171599753751643,TRUE,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA,""
1,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0246119609105588,2.06836415526356e-06,10,11899.2397194307,0.101545143629909,"Stirling-Gamma","ok",0.430296098906577,0.0321050104461141,0.0692651410599167,0.000738101502469254,0.0266870623641902,0.131793473965934,TRUE,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,""
1,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0246119609105588,2.06836415526356e-06,10,11899.2397194307,0.101545143629909,"Slice-log-alpha","ok",0.0858501041793515,0.00424105018720381,0.101965940432816,0.00131346957714999,0.0473004009969414,0.201805446019293,TRUE,80,0.8,2162.16216216216,0.12421939883774,0.238027500209474,0.037,NA,3.83,NA,80,""
1,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.0246119609105588,2.06836415526356e-06,10,11899.2397194307,0.101545143629909,"P-IG Gibbs","ok",0.0852742276042139,0.00406208336947701,0.105301678684166,0.0010239465596403,0.0551737266743755,0.181953250051774,TRUE,80,0.8,2424.24242424242,0.0721682663290351,-0.0711710531062188,0.033,NA,NA,10,80,""
2,"main","alpha=2, n=10",1,2,10,0,NA,FALSE,2.09853106091801,1.59422219759232,10,1.31633536660531,2.48389235684129,"Numerical grid","ok",0,0,2.49987196280782,0.865788803794143,1.03238102803843,4.61575183248323,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"main","alpha=2, n=10",1,2,10,0,NA,FALSE,2.09853106091801,1.59422219759232,10,1.31633536660531,2.48389235684129,"Miller-Gamma","ok",0.0036019355275997,0.00494533569606077,2.4839087687584,0.863559767678326,1.01006313559302,4.60936674907778,TRUE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
2,"main","alpha=2, n=10",1,2,10,0,NA,FALSE,2.09853106091801,1.59422219759232,10,1.31633536660531,2.48389235684129,"Stirling-Gamma","ok",0.057199212136647,0.122483249543755,2.36491222704536,0.860432283327484,0.911173486738458,4.49981034121058,TRUE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
2,"main","alpha=2, n=10",1,2,10,0,NA,FALSE,2.09853106091801,1.59422219759232,10,1.31633536660531,2.48389235684129,"Slice-log-alpha","ok",0.084424218233017,0.166067920843546,2.48161058871812,1.22240990035677,0.799660448647356,5.20902230672918,TRUE,88.4008077641968,0.884008077641968,29466.9359213989,0.188152192985462,0.0549431836034159,0.003,NA,3.84,NA,80,""
2,"main","alpha=2, n=10",1,2,10,0,NA,FALSE,2.09853106091801,1.59422219759232,10,1.31633536660531,2.48389235684129,"P-IG Gibbs","ok",0.0973458122235138,0.203441773347732,2.30703119202497,0.473103250278341,1.15423936438348,3.61781193187816,TRUE,9.45942636860534,0.0945942636860534,3153.14212286844,0.78609899338433,0.165027917044095,0.003,NA,NA,10,80,""
