"n","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
5,"P-IG Gibbs",100,100,0.0343059067133721,0.00153597932720364,0.159306872930506,0.00799502961242217,1,-0.221358972081025,0.0293038997908873,65.4449498304782,2.261,2.3766,NA,0.928422345374406,0.475000455838113
5,"Slice-log-alpha",100,100,0.0142695435050724,0.000447538657811506,0.0504524010612425,0.00161915556130544,1,-0.236595453687794,0.8,21572.4994398738,0.178,0.2051,NA,0.0112240954941883,2.91565534600915e-05
5,"Miller-IMH",100,100,0.0137298068364452,0.000449213788420814,0.0487048191856947,0.00185899890583246,1,-0.242161074193004,0.8,51282.0512820514,0.0779999999999998,0.111,0.9932,0.0116714941192766,-0.00213478286164134
5,"Miller-Gamma",100,100,0.00468577534164999,0,0.0255230940804047,0,1,-0.26839528470746,NA,NA,0.003,0.00499999999999989,NA,NA,NA
5,"Stirling-Gamma",100,100,0.0238484668600467,0,0.123016929806413,0,1,-0.36588911247148,NA,NA,0.002,0.00300000000000011,NA,NA,NA
10,"P-IG Gibbs",100,100,0.0494259161468394,0.00267838411737997,0.251528355465156,0.0139154305366076,1,1.27514466384576,0.0174752100799664,34.5016065654615,2.453,2.6624,NA,0.957436836046949,0.647593011190435
10,"Slice-log-alpha",100,100,0.0140896925205056,0.000457362808121093,0.0516654781324116,0.00186358908574353,1,1.27638015080178,0.8,22223.8587584125,0.171,0.23,NA,0.00431796940722758,-0.00150334370187997
10,"Miller-IMH",100,100,0.013463052378182,0.000371831214666876,0.0489402136633347,0.00140064546024052,1,1.28025769698166,0.8,51348.8259100331,0.0779999999999994,0.0980999999999999,0.9956,0.0102807941679461,0.000295861199603084
10,"Miller-Gamma",100,100,0.00294467169019885,0,0.0186445288291979,0,1,1.25852974170222,NA,NA,0.00300000000000011,0.00499999999999998,NA,NA,NA
10,"Stirling-Gamma",100,100,0.0253756546420447,0,0.142734083934405,0,1,1.13444019176741,NA,NA,0.00299999999999923,0.00400000000000045,NA,NA,NA
30,"P-IG Gibbs",100,100,0.0338092075147983,0.00156517773711354,0.0516819764606699,0.0028260024978292,0.18,-1.76313084122174,0.0351752703547518,51.1511784755618,3.441,3.58739999999999,NA,0.91534687906223,0.415089603944251
30,"Slice-log-alpha",100,100,0.01485836051276,0.000464683684674304,0.0171163412234826,0.000586451530760032,0.02,-1.75881245979334,0.8,23427.5665254503,0.1705,0.1952,NA,0.00148627836680173,0.00199520884521149
30,"Miller-IMH",100,100,0.0136562650222731,0.000380365642390482,0.0152318855791101,0.000456578303269736,0.02,-1.76076388778112,0.8,53289.6323867903,0.0750000000000002,0.0969999999999997,0.9954,0.0131410038079972,-0.000546303179378338
30,"Miller-Gamma",100,100,0.00294416216474333,0,0.00707697680216953,0,0,-1.76695240283147,NA,NA,0.00249999999999995,0.004999999999999,NA,NA,NA
30,"Stirling-Gamma",100,100,0.0807524334389973,0,0.150387435051252,0,0,-1.9102628589309,NA,NA,0.00249999999999951,0.00400000000000134,NA,NA,NA
