"alpha_true","n","pig_ks","best_competitor_ks","best_ks_method","pig_ess_sec","best_competitor_ess_sec","best_ess_method","ess_sec_ratio_pig_to_best","pig_runtime_median","best_competitor_runtime_median"
0.1,10,0.0139544135723823,0.0134551669909697,"Miller-IMH",1495.76322143879,45454.5454545436,"Miller-IMH",0.0329067908716547,2.29249999999957,0.0849999999999937
0.1,50,0.0138127485962278,0.013718476283094,"Miller-IMH",945.643500043486,45977.0114942511,"Miller-IMH",0.0205677461259466,3.53449999999975,0.0849999999999937
0.1,500,0.0143615821800901,0.0139208177076322,"Miller-IMH",176.461376247724,47619.0476190458,"Miller-IMH",0.00370568890120235,18.6310000000001,0.0840000000000032
0.5,10,0.0177840105433605,0.0134758271733499,"Miller-IMH",641.047049556657,43300.7854403119,"Miller-IMH",0.0148045131985033,2.29049999999995,0.0859999999999985
0.5,50,0.0166746444662622,0.013722212286886,"Miller-IMH",447.142752473683,45606.3789578642,"Miller-IMH",0.00980439058507142,3.45649999999978,0.0849999999999937
0.5,500,0.0163223153443944,0.013389884354939,"Miller-IMH",84.7662041614014,47619.0476190458,"Miller-IMH",0.0017800902873895,18.604,0.0830000000000002
1,10,0.0224726413352149,0.0139842781339475,"Miller-IMH",291.382200676896,45075.0829216668,"Miller-IMH",0.00646437414620558,2.23999999999984,0.0820000000000078
1,50,0.0198100734755988,0.0134028455102792,"Miller-IMH",189.780375875548,45977.0114942558,"Miller-IMH",0.00412772317529291,3.89700000000005,0.0839999999999979
1,500,0.0191413465290109,0.0139184350979501,"Miller-IMH",42.4226745191324,47619.0476190468,"Miller-IMH",0.000890876164901797,18.2520000000002,0.0829999999999984
2,10,0.0346302483378529,0.0144127304778417,"Miller-IMH",104.692902423186,45305.7878274779,"Miller-IMH",0.0023108063548492,2.24449999999979,0.0840000000000032
2,50,0.0281097422620501,0.0137003029375939,"Miller-IMH",78.8101000884155,46511.6279069736,"Miller-IMH",0.00169441715190105,3.9079999999999,0.0840000000000032
2,500,0.0275098489538025,0.0142281776909686,"Miller-IMH",16.9570983274303,47619.0476190458,"Miller-IMH",0.000356099064876049,18.3309999999999,0.0839999999999943
5,10,0.0560600440950653,0.0135425652367553,"Miller-IMH",28.8056566982393,45977.0114942511,"Miller-IMH",0.000626523033186728,2.25199999999998,0.0859999999999985
5,50,0.0555598419335779,0.0135865288148378,"Miller-IMH",20.7501618329636,48192.7710843383,"Miller-IMH",0.000430565858033986,3.94049999999987,0.0820000000000149
5,500,0.0483475332300025,0.0131620625285236,"Miller-IMH",4.72913718997764,47619.0476190458,"Miller-IMH",9.93118809895343e-05,18.393,0.0839999999999979
20,10,0.147237583787646,0.0133124657589051,"Miller-IMH",5.8221492893975,47619.0476190468,"Miller-IMH",0.000122265135077349,2.29400000000001,0.0835000000000025
20,50,0.113734857035622,0.013509529607036,"Slice-log-alpha",4.01235125146738,47322.1467824547,"Miller-IMH",8.47880226125966e-05,4.09100000000012,0.0829999999999984
20,500,0.113431048056486,0.0139154877037966,"Miller-IMH",0.847841094273222,47905.9093516915,"Miller-IMH",1.76980482313564e-05,19.0964999999999,0.0844999999999985
