"prior_delta","prior_center","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
0.5,0.5,"Slice-log-alpha",100,100,0.0141330847110102,0.000433799845120526,0.0107775577086197,0.000458683770159461,0.96,0.163914238692101,0.8,20358.5094305039,0.192999999999998,0.273199999999991,NA,0.0052294437731671,-0.000726374257485774
0.5,0.5,"Miller-IMH",100,100,0.0130999346479183,0.000338761492547553,0.00985892882420091,0.000382283384142238,0.96,0.162995381737494,0.8,45557.7959472028,0.0869999999999891,0.136799999999997,0.9936,0.0171356475288498,0.00146182804343677
0.5,0.5,"Miller-Gamma",100,100,0.00389616522979861,4.97387978019636e-05,0.00600517566161825,5.60131937880275e-05,0.96,0.157247444254827,NA,NA,0.00300000000000011,0.00500000000002387,NA,NA,NA
0.5,0.5,"Stirling-Gamma",100,100,0.124884056451078,0.00253784290241561,0.144309435655644,0.000371752126310271,0.97,0.0189431863235031,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
0.5,2,"Slice-log-alpha",100,100,0.0142869635125213,0.000382360504851628,0.0118572583689477,0.000529058618225949,0.92,0.358288745677724,0.8,20671.972651032,0.198000000000008,0.261199999999997,NA,0.00527339183817922,-0.000765371408818199
0.5,2,"Miller-IMH",100,100,0.0130770758851385,0.000390460210046648,0.010239105532401,0.00043334488612105,0.93,0.358925254948682,0.8,47207.3242598246,0.0840000000000032,0.134599999999986,0.9942,0.0166915639442776,-0.00249654557400983
0.5,2,"Miller-Gamma",100,100,0.00371624031312656,5.57197053259037e-05,0.00619249953230628,5.7892351884821e-05,0.93,0.352780832585956,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
0.5,2,"Stirling-Gamma",100,100,0.116383605849935,0.00263794155521335,0.145531908790766,0.000380845439115545,0.95,0.21344142540573,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
0.5,10,"Slice-log-alpha",100,100,0.0142578215363656,0.000439912021681463,0.0104448292042041,0.000429292568066911,0.96,0.101147533033273,0.8,19770.1486998188,0.198999999999984,0.277499999999989,NA,0.00570275532774242,0.00208167554809212
0.5,10,"Miller-IMH",100,100,0.013214469884011,0.000417204703283257,0.00929696522147127,0.000350253080019205,0.96,0.101417074452244,0.8,45977.0114942586,0.085000000000008,0.13350000000001,0.9936,0.0163621384822312,0.00267406154340469
0.5,10,"Miller-Gamma",100,100,0.00395222634075744,4.4546078405128e-05,0.00595081888369794,5.18956586842988e-05,0.96,0.0952738822134087,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
0.5,10,"Stirling-Gamma",100,100,0.12733229959487,0.00236402082498187,0.143962736502711,0.000348884119110034,0.98,-0.042738033347128,NA,NA,0.0029999999999859,0.00499999999999545,NA,NA,NA
2.5,0.5,"Slice-log-alpha",100,100,0.0142116385668896,0.000414183179857196,0.00775062098873532,0.000305525524832517,0.83,-0.422917792456992,0.8,20558.6460264385,0.191999999999993,0.271299999999988,NA,0.00271668809542219,0.00127543190147873
2.5,0.5,"Miller-IMH",100,100,0.0137277771007805,0.000435532944832411,0.00724775968036066,0.000274314853730564,0.82,-0.42210729548083,0.794516920269045,45460.4158594817,0.0844999999999913,0.117500000000001,0.9927,0.0211382681111819,0.0012367499364046
2.5,0.5,"Miller-Gamma",100,100,0.00441683429905735,2.9240146926248e-05,0.00491690443818887,4.55021980528905e-05,0.81,-0.427500312318067,NA,NA,0.00300000000001432,0.00600000000000023,NA,NA,NA
