"cell","alpha_true","n","method","n_iter","burnin","reps","ks_mean","ks_se","w1_mean","w1_se","coverage","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","acf1_mean","acf10_mean"
"high-shape-large-n",20,500,"Miller-Gamma",NA,NA,1,0.000177659647763728,NA,0.000405233625731387,NA,1,NA,NA,NA,NA,NA,NA
"high-shape-large-n",20,500,"P-IG Gibbs",5000,1000,4,0.140132848714497,0.0386403318562307,0.36471049758989,0.0996124369624711,1,0.00332754908367241,0.705101020593546,23.596,23.7592,0.991377644772837,0.916978564710996
"high-shape-large-n",20,500,"P-IG Gibbs",20000,4000,4,0.106231995991916,0.00476323504046103,0.294883347589466,0.0182626093398729,1,0.00294101250431604,0.677908127794803,83.0395,88.7648000000001,0.992907514824726,0.930627108013178
"high-shape-large-n",20,500,"P-IG Gibbs",100000,20000,4,0.0164077506386542,0.00345877261027881,0.0455709273160653,0.0101106032727076,1,0.00303572637154965,0.691167518431493,440.3335,466.3187,0.992351311634702,0.926338695896375
"high-shape-large-n",20,500,"Stirling-Gamma",NA,NA,1,0.0544922329937962,NA,0.163888726027522,NA,1,NA,NA,NA,NA,NA,NA
"low-shape",0.1,100,"Miller-Gamma",NA,NA,1,0.00085783698881084,NA,3.33468382819775e-05,NA,1,NA,NA,NA,NA,NA,NA
"low-shape",0.1,100,"P-IG Gibbs",5000,1000,4,0.0139309216937166,0.00229381214611019,0.000220886827030111,2.90338070272547e-05,1,0.687531309575206,549.824703406288,6.2535,6.318,0.0869612450815375,0.0147685463956424
"low-shape",0.1,100,"P-IG Gibbs",20000,4000,4,0.00727335588624461,0.00161722853075014,0.000114591950001789,2.41849879350357e-05,1,0.666372296128442,639.025814039652,20.932,21.1652,0.090310147549292,0.00609488919018239
"low-shape",0.1,100,"P-IG Gibbs",100000,20000,4,0.00337172938440546,0.0002742777768318,4.49319971173805e-05,4.20421590142257e-06,1,0.667687231524776,724.96974363577,92.2155,92.2916,0.0912067142437653,0.00058789004957991
"low-shape",0.1,100,"Stirling-Gamma",NA,NA,1,0.953595205228546,NA,0.0371842488643599,NA,0,NA,NA,NA,NA,NA,NA
"moderate-shape",5,50,"Miller-Gamma",NA,NA,1,0.00112517885364127,NA,0.00467139124367324,NA,1,NA,NA,NA,NA,NA,NA
"moderate-shape",5,50,"P-IG Gibbs",5000,1000,4,0.0506406382773564,0.00430561657160809,0.111956379373347,0.010071878061558,1,0.012573447580312,13.5650827111014,4.6305,4.9432,0.969169574481841,0.722308732978238
"moderate-shape",5,50,"P-IG Gibbs",20000,4000,4,0.0285897811045568,0.00784653882817441,0.0679429384176683,0.0155883379665413,1,0.0126583617863794,16.1355902228342,16.265,16.3202,0.969242249182864,0.736099126225384
"moderate-shape",5,50,"P-IG Gibbs",100000,20000,4,0.0109451758785254,0.0032855336157326,0.0338323587314655,0.0107516135275239,1,0.012430927320071,18.7413331517243,66.414,66.5007,0.969456275094077,0.735071164605017
"moderate-shape",5,50,"Stirling-Gamma",NA,NA,1,0.0499914617227871,NA,0.157933694852122,NA,1,NA,NA,NA,NA,NA,NA
