"cell","alpha_true","n","method","n_iter","burnin","reps","ks_mean","ks_se","w1_mean","w1_se","coverage","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","acf1_mean","acf10_mean"
"high-shape-large-n",20,500,"Miller-Gamma",NA,NA,1,0.00623764154098438,NA,0.0185658357494545,NA,1,NA,NA,NA,NA,NA,NA
"high-shape-large-n",20,500,"P-IG Gibbs",200,40,1,0.518576830707691,NA,1.09554425033166,NA,0,0.0204004317382055,5.43287130178575,0.751,0.751,0.949960245953508,0.55228026928032
"high-shape-large-n",20,500,"P-IG Gibbs",500,100,1,0.18562379109565,NA,0.475399643332205,NA,1,0.0112184333270661,3.22183610771571,1.741,1.741,0.972273239571249,0.665120286309566
"high-shape-large-n",20,500,"Stirling-Gamma",NA,NA,1,0.0484827190979597,NA,0.145645551127729,NA,1,NA,NA,NA,NA,NA,NA
"low-shape",0.1,100,"Miller-Gamma",NA,NA,1,0.00470116484535787,NA,0.000106575416496234,NA,1,NA,NA,NA,NA,NA,NA
"low-shape",0.1,100,"P-IG Gibbs",200,40,1,0.0817698066637538,NA,0.00159767207037353,NA,1,0.8,800,0.2,0.2,0.10476756281684,-0.028520367407192
"low-shape",0.1,100,"P-IG Gibbs",500,100,1,0.043244000111444,NA,0.000666267869705653,NA,1,0.612032741480571,644.24499103218,0.475,0.475,0.1318855240717,-0.0479651263677459
"low-shape",0.1,100,"Stirling-Gamma",NA,NA,1,0.952934880576591,NA,0.0370445529995405,NA,0,NA,NA,NA,NA,NA,NA
"moderate-shape",5,50,"Miller-Gamma",NA,NA,1,0.00408340726283329,NA,0.0115002275875518,NA,1,NA,NA,NA,NA,NA,NA
"moderate-shape",5,50,"P-IG Gibbs",200,40,1,0.133789711689728,NA,0.361506878491472,NA,0,0.0452839642322246,67.0873544181105,0.135,0.135,0.912727540244437,0.133750844015416
"moderate-shape",5,50,"P-IG Gibbs",500,100,1,0.155605909125708,NA,0.332552596621294,NA,0,0.0144929978693839,23.0780220850062,0.314,0.314,0.964324400776576,0.617971818256876
"moderate-shape",5,50,"Stirling-Gamma",NA,NA,1,0.0451821033476918,NA,0.141923208693152,NA,1,NA,NA,NA,NA,NA,NA
