"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999872862329287,4.6825364106785,0.0744769786949277,0.000506050244091867,0.0354497751295908,0.122304680488731,FALSE,3738.24846367188,0.747649692734376,11328.0256474905,0.0591448916800581,0.0125407492102155,0.33,NA,NA,200,4000,""
2,"damsleth","Damsleth n=5",2,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058782,5.37883300452028,1.37921439520066,10.2811119117974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"damsleth","Damsleth n=5",2,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.999871926935781,4.68328818105847,0.0737252083149551,0.000502673741767782,0.0332394500453556,0.122831740741223,FALSE,3460.06473006004,0.692012946012008,9857.73427367532,0.0722523610464385,-0.0291468964969689,0.351,NA,NA,200,4000,""
3,"damsleth","Damsleth n=10",1,5,10,0,NA,TRUE,5.57,5.01,10,1.11177644710579,6.25848978774591,"Numerical grid","ok",0,0,6.27874382490321,5.79502735097728,2.50363677584584,11.8152205102997,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,"damsleth","Damsleth n=10",1,5,10,0,NA,TRUE,5.57,5.01,10,1.11177644710579,6.25848978774591,"P-IG Gibbs","ok",0.999874999970197,6.20585824654919,0.0712192749694614,0.000260004375873997,0.0423562567155129,0.10412071537444,FALSE,5056.49697015144,1.01129939403029,8933.74022994954,0.0257200762030657,-0.0302662124587934,0.566,NA,NA,200,4000,""
4,"damsleth","Damsleth n=10",2,5,10,0,NA,TRUE,5.57,5.01,10,1.11177644710579,6.25848978774591,"Numerical grid","ok",0,0,6.27874382490321,5.79502735097728,2.50363677584584,11.8152205102997,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,"damsleth","Damsleth n=10",2,5,10,0,NA,TRUE,5.57,5.01,10,1.11177644710579,6.25848978774591,"P-IG Gibbs","ok",0.999874999989108,6.20625475998469,0.0708227615339698,0.000262075886248293,0.0414449505415318,0.104853780949387,FALSE,3529.98799152139,0.705997598304277,6348.89926532623,0.0622941322952958,-0.00699873435810693,0.556,NA,NA,200,4000,""
5,"damsleth","Damsleth n=30",1,5,30,0,NA,TRUE,5.09,4.26,30,1.19483568075117,3.23301803076604,"Numerical grid","ok",0,0,3.24061064115617,0.580540886405783,1.93060664156111,4.90148916681077,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,"damsleth","Damsleth n=30",1,5,30,0,NA,TRUE,5.09,4.26,30,1.19483568075117,3.23301803076604,"P-IG Gibbs","ok",0.999875,3.17167051896207,0.0684341977342901,8.27202229345234e-05,0.0514078419206198,0.0866716899804985,FALSE,3510.29225369945,0.70205845073989,2579.20077420974,0.0788716549039127,-0.00414523080741861,1.361,NA,NA,200,4000,""
6,"damsleth","Damsleth n=30",2,5,30,0,NA,TRUE,5.09,4.26,30,1.19483568075117,3.23301803076604,"Numerical grid","ok",0,0,3.24061064115617,0.580540886405783,1.93060664156111,4.90148916681077,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
6,"damsleth","Damsleth n=30",2,5,30,0,NA,TRUE,5.09,4.26,30,1.19483568075117,3.23301803076604,"P-IG Gibbs","ok",0.999875,3.17158553958646,0.0685191771098958,8.50558530154302e-05,0.0510536702693399,0.0874823700361526,FALSE,3193.76900738668,0.638753801477337,2372.78529523528,0.099446966247467,-0.045523602983931,1.346,NA,NA,200,4000,""
7,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.069811711444259,3.16574319609988e-07,10,220522.34536985,0.0792918719882075,"Numerical grid","ok",0,0,0.0794605678471478,0.000594308855688891,0.0392335373092302,0.133998137039563,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
7,"main","alpha=0.1, n=10",1,0.1,10,0,NA,FALSE,0.069811711444259,3.16574319609988e-07,10,220522.34536985,0.0792918719882075,"P-IG Gibbs","ok",0.64501777366758,0.0327306654060051,0.0467112192796681,0.000150572362006484,0.0251362232025925,0.0732847737724939,FALSE,4000,0.8,7339.4495412844,0.00557581113889434,-0.0253175210184512,0.545,NA,NA,200,4000,""
