"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"damsleth","Damsleth n=10",5,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1.27874382490321
"damsleth","Damsleth n=10",5,10,0,NA,"P-IG Gibbs",200,2,0.999874999979653,9.45549194513925e-12,6.20605650326694,0.000198256717749867,0.858648496167283,7641.31974763789,0.0440071042491808,-0.0186324734084502,0,0.561,0.565,-4.92897898174828
"damsleth","Damsleth n=30",5,30,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.75938935884383
"damsleth","Damsleth n=30",5,30,0,NA,"P-IG Gibbs",200,2,0.999875,0,3.17162802927426,4.24896878050696e-05,0.670406126108613,2475.99303472251,0.0891593105756898,-0.0248344168956748,0,1.3535,1.3595,-4.93152331257791
"damsleth","Damsleth n=5",5,5,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.24120680941218
"damsleth","Damsleth n=5",5,5,0,NA,"P-IG Gibbs",200,2,0.999872394632534,4.6769675299263e-07,4.68291229586849,0.000375885189984881,0.719831319373192,10592.8799605829,0.0656986263632483,-0.0083030736433767,0,0.3405,0.3489,-4.92589890649506
"extreme","alpha=0.05, n=100",0.05,100,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.00038020221247205
"extreme","alpha=0.05, n=100",0.05,100,0,NA,"P-IG Gibbs",200,2,0.898691202026124,0.003666064916377,0.0136097813457153,0.000270740796364501,0.767979752745673,1129.63130796954,0.0307721673618507,-0.00999007093843275,0,3.3995,3.5175,-0.0132334153134619
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.013876216214803
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"P-IG Gibbs",200,2,0.999870870661371,1.1706819965096e-06,0.0617326589832725,0.0020123076254219,0.71881132377393,1046.29022021455,0.0567347935426118,-0.01248832715867,0,3.439,3.5862,-0.0478651236245464
"main","alpha=0.1, n=10",0.1,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0134812277417692
"main","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs",200,2,0.686470999300346,0.041453225632766,0.0381341979585392,0.0054035325525341,0.769249650973324,6852.91141696395,0.0227127179763227,-0.00901354832700082,0,0.5625,0.5765,-0.0516357740550536
"main","alpha=0.1, n=50",0.1,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.004824033262626
"main","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs",200,2,0.987213666188983,0.000312157419262993,0.0458502547633182,0.000553915872487251,0.763608791508423,2304.5430174924,0.0317604545690676,-0.00759075484977198,0,1.657,1.661,-0.0506840307439954
"main","alpha=0.1, n=500",0.1,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0016452829540345
"main","alpha=0.1, n=500",0.1,500,0,NA,"P-IG Gibbs",200,2,0.999875,0,0.0487345965569573,0.0010313330805349,0.752105461982211,204.09418391482,0.052738778224161,-0.0134535749296761,0,18.438,18.5868,-0.0503848213232274
"main","alpha=0.5, n=10",0.5,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.111265950555032
"main","alpha=0.5, n=10",0.5,10,0,NA,"P-IG Gibbs",200,2,0.996869240469033,0.00180770730744501,0.322539812055037,0.056529976648595,0.742829943560704,6631.93301157234,0.0369998230679775,-0.0202337876682076,0,0.56,0.564,-0.433897931423019
"main","alpha=0.5, n=50",0.5,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.11014554517012
"main","alpha=0.5, n=50",0.5,50,0,NA,"P-IG Gibbs",200,2,0.999875,0,0.544415796949793,0.040284924244924,0.713926180849256,2154.59616124875,0.0681596958614865,-0.0126528495478082,0,1.657,1.6642,-0.434348452428856
"main","alpha=0.5, n=500",0.5,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0027018908284025
"main","alpha=0.5, n=500",0.5,500,0,NA,"P-IG Gibbs",200,2,0.999875,0,0.432848777834397,0.0105274064040365,0.727294815748866,197.898841187956,0.047543187137301,-0.00772202418733554,0,18.3745,18.5565,-0.435575693176558
"main","alpha=1, n=10",1,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.0782588682090026
"main","alpha=1, n=10",1,10,0,NA,"P-IG Gibbs",200,2,0.999864295796828,9.60864087146129e-06,1.00837697066837,0.191792593812624,0.719289026748444,7077.44182584022,0.0530298635106635,0.01639387094239,0,0.514,0.5556,-0.930375589922938
"main","alpha=1, n=50",1,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.18341035198935
"main","alpha=1, n=50",1,50,0,NA,"P-IG Gibbs",200,2,0.999875,0,1.11621168806965,0.02255603640578,0.693607413680408,1696.5480818152,0.0711331796259247,0.0031706010958218,0,2.0605,2.2161,-0.932953417636781
"main","alpha=1, n=500",1,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,0.051667299558515
"main","alpha=1, n=500",1,500,0,NA,"P-IG Gibbs",200,2,0.999875,0,0.98534768730071,0.07084363006187,0.711700409119501,192.366675994868,0.0450265868647223,0.0261237858514335,0,18.502,18.7252,-0.933733356920251
"main","alpha=2, n=10",2,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1.05271153463888
"main","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs",200,2,0.999874995759817,3.33766514426519e-10,2.98117155936642,0.244676743524395,0.743185807789023,7357.70656561736,0.0508663032729105,-0.00238481344110055,0,0.5135,0.5659,-1.92926887977787
"main","alpha=2, n=50",2,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.41416050227208
"main","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs",200,2,0.999875,0,2.34609029388538,0.485827407951715,0.715735822714255,1764.757231153,0.0556862077823676,-0.0140780261911661,0,2.0555,2.2231,-1.93224067014939
"main","alpha=2, n=500",2,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.06338226725888
"main","alpha=2, n=500",2,500,0,NA,"P-IG Gibbs",200,2,0.999875,0,1.9962912631693,0.022935066850425,0.696592116033313,188.280840818398,0.0690047952539373,-0.000401440608024855,0,18.499,18.6926,-1.93301298367895
"main","alpha=20, n=10",20,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,23.2548093257632
"main","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs",200,2,0.999875,0,43.1709873652301,10.4799306592528,0.752271569580379,7495.404105776,0.0558674604625338,0.00734342037726667,0,0.5045,0.5497,-19.9287532575624
"main","alpha=20, n=50",20,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-1.5314181640283
"main","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs",200,2,0.999875,0,18.3978181662345,2.2707788571177,0.69479474637909,1512.90519254496,0.0706350305724922,-0.0146917760029755,0,2.296,2.3008,-19.9316190732233
"main","alpha=20, n=500",20,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.1201899338381
"main","alpha=20, n=500",20,500,0,NA,"P-IG Gibbs",200,2,0.999875,0,20.0515254045295,0.8426915917871,0.746481025137928,205.575591685656,0.0489689644522884,-0.00895551076062076,0,18.1545,18.1941,-19.9323500940548
"main","alpha=5, n=10",5,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.00845257190695481
"main","alpha=5, n=10",5,10,0,NA,"P-IG Gibbs",200,2,0.999874998876593,1.11505449318372e-09,4.91900648384626,1.70464551228972,0.696485210452497,7019.51486471644,0.0528992689252379,-0.00918693159261607,0,0.501000000000001,0.5362,-4.92878323387882
"main","alpha=5, n=50",5,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,1.27609010513899
"main","alpha=5, n=50",5,50,0,NA,"P-IG Gibbs",200,2,0.999875,0,6.20709679805264,1.76128646611822,0.70474004423478,1565.54291932757,0.063360208746719,-0.0137970503060455,0,2.251,2.2566,-4.93181596114449
"main","alpha=5, n=500",5,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.054056880901395
"main","alpha=5, n=500",5,500,0,NA,"P-IG Gibbs",200,2,0.999875,0,4.87824317203324,0.0382372225939096,0.697655675244625,191.780041011097,0.0682183741964548,-0.0157853693051906,0,18.189,18.1954,-4.93254941285199
"prior","delta=0.5, center=0.5",2,30,0.5,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.38791464593126
"prior","delta=0.5, center=10",2,30,0.5,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0519788343064751
"prior","delta=0.5, center=2",2,30,0.5,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.236268721771725
"prior","delta=10, center=0.5",2,30,10,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.054182796347
"prior","delta=10, center=0.5",2,30,10,0.5,"P-IG Gibbs",200,2,0.999875,0,0.878646344082592,0.0089661590844905,0.706228005530087,2548.51839875194,0.0781640338452678,-0.0119336607004148,0,1.388,1.42,-1.93295132931243
"prior","delta=10, center=10",2,30,10,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-0.949930336991555
"prior","delta=10, center=10",2,30,10,10,"P-IG Gibbs",200,2,0.999875,0,0.982884647019072,0.0296304421205885,0.727454830833332,2125.53867392163,0.0473751933908607,-0.00274455455973815,0,1.78749999999999,2.08629999999999,-1.93295070724884
"prior","delta=10, center=2",2,30,10,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.24949887943165
"prior","delta=10, center=2",2,30,10,2,"P-IG Gibbs",200,2,0.999875,0,2.18121396427305,0.105631421307365,0.772709066341807,2858.2001780938,0.0648213228802885,-0.00081887088071904,0,1.3515,1.3543,-1.93200664934449
"prior","delta=2.5, center=0.5",2,30,2.5,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.04055452193541
"prior","delta=2.5, center=10",2,30,2.5,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-0.80389554772568
"prior","delta=2.5, center=2",2,30,2.5,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.323662616150795
"prior","delta=50, center=0.5",2,30,50,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.42565007607389
"prior","delta=50, center=0.5",2,30,50,0.5,"P-IG Gibbs",200,2,0.999875,0,0.509041102674938,0.0104835034193475,0.7020912455468,1325.81820819557,0.0655223119478764,-0.00016593720174291,0,2.6505,2.6861,-1.9347497637373
"prior","delta=50, center=10",2,30,50,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.24883029664105
"prior","delta=50, center=10",2,30,50,10,"P-IG Gibbs",200,2,0.999875,0,1.68357626184973,0.163465523182305,0.686843657875184,1070.50927486067,0.060573816134114,0.000655567666360201,0,3.363,3.8934,-1.9325858016198
"prior","delta=50, center=2",2,30,50,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.29047084012857
"prior","delta=50, center=2",2,30,50,2,"P-IG Gibbs",200,2,0.999875,0,2.22273561979306,0.12231520460472,0.766746927665299,1461.48966937008,0.0695032138638093,0.00363150174843472,0,2.624,2.6384,-1.93249935134999
