"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"damsleth","Damsleth n=10",5,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1.27874382490321
"damsleth","Damsleth n=10",5,10,0,NA,"P-IG Gibbs",200,2,0.0430987427476927,0.00109252542858295,0.186255492416958,0.0457288113287705,0.0157415673411734,27.4814752853724,0.962246122015428,0.645901404718562,1,2.864,2.8712,1.2930355096156
"damsleth","Damsleth n=30",5,30,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.75938935884383
"damsleth","Damsleth n=30",5,30,0,NA,"P-IG Gibbs",200,2,0.0243704413494987,0.0149628394385869,0.0412506986501067,0.0233561125344421,0.0315139137075356,42.1142556066066,0.917554045007064,0.446557147017602,0,3.7415,3.7427,-1.79643321161369
"damsleth","Damsleth n=5",5,5,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.24120680941218
"damsleth","Damsleth n=5",5,5,0,NA,"P-IG Gibbs",200,2,0.0255562617368137,0.00641468922165175,0.107954815498428,0.0071265610577205,0.0271978887268275,51.4262578211443,0.925925892863178,0.482563929922454,1,2.653,2.681,-0.23433827669345
"extreme","alpha=0.05, n=100",0.05,100,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.00038020221247205
"extreme","alpha=0.05, n=100",0.05,100,0,NA,"P-IG Gibbs",200,2,0.0149370113081968,0.00419189431981635,0.000136159297327361,4.34764808201917e-05,0.72746913268921,737.506991151394,0.047372772774295,0.00146090961871552,1,4.93600000000001,5.06480000000001,0.000430588618059145
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.013876216214803
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"P-IG Gibbs",200,2,0.013495532913566,0.00196656793985915,0.000258751159112542,8.95749463798695e-05,0.639270337620901,655.493339526144,0.0877528087273452,-0.007297959648198,1,4.8825,4.9749,0.01368608710803
"main","alpha=0.1, n=10",0.1,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0134812277417692
"main","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs",200,2,0.0125218020726066,0.0010133501532612,0.000532453841005309,2.88274165595635e-05,0.716520643114967,1419.65676451184,0.0550411088581828,-0.00230450104043201,1,2.5395,2.7247,-0.0134824355916756
"main","alpha=0.1, n=50",0.1,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.004824033262626
"main","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs",200,2,0.0162561030248102,0.0019680942716457,0.000370124655158508,6.85508240484225e-05,0.668670028205003,948.637621788024,0.0893068184472725,0.00562699529229421,1,3.5325,3.6777,-0.00479148098675596
"main","alpha=0.1, n=500",0.1,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0016452829540345
"main","alpha=0.1, n=500",0.1,500,0,NA,"P-IG Gibbs",200,2,0.0127360622459797,0.0011967742412063,9.51763286336739e-05,1.72390317444151e-05,0.665798421863109,163.316877890429,0.0912556880246457,0.00984448572493062,1,20.393,20.597,-0.00162626090499925
"main","alpha=0.5, n=10",0.5,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.111265950555032
"main","alpha=0.5, n=10",0.5,10,0,NA,"P-IG Gibbs",200,2,0.0150422300440794,0.00263869452411945,0.00321735223847574,0.00123874705285934,0.440863940352028,879.542053895686,0.273732964011844,-0.00913835439991869,1,2.555,2.7854,-0.112707866989015
"main","alpha=0.5, n=50",0.5,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.11014554517012
"main","alpha=0.5, n=50",0.5,50,0,NA,"P-IG Gibbs",200,2,0.0189032647073838,0.00359702116607555,0.00295889349701144,0.000902751155418845,0.271088872671735,393.871333444951,0.4895960070835,-0.00102169085055897,1,3.466,3.6972,0.111763077609913
"main","alpha=0.5, n=500",0.5,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0027018908284025
"main","alpha=0.5, n=500",0.5,500,0,NA,"P-IG Gibbs",200,2,0.0133266404252091,0.0028884612280721,0.000579851511865959,2.05871136174895e-06,0.316350259995697,77.2323933096274,0.433260763014145,-0.00917181975582755,1,20.492,20.6984,-0.00261160786445749
"main","alpha=1, n=10",1,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.0782588682090026
"main","alpha=1, n=10",1,10,0,NA,"P-IG Gibbs",200,2,0.0194944874129151,0.00965863788761324,0.0100485280394772,0.00645571094673666,0.180676327299365,390.150666868773,0.634890000189348,0.0213575218991908,1,2.2965,2.3681,0.0710059612985105
"main","alpha=1, n=50",1,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.18341035198935
"main","alpha=1, n=50",1,50,0,NA,"P-IG Gibbs",200,2,0.0148785038404687,0.00412926845915395,0.00534237657443559,0.00102789342782704,0.127808250365749,152.06808695819,0.724527771635254,0.0231079678941185,1,4.205,4.4178,0.186932752492645
"main","alpha=1, n=500",1,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,0.051667299558515
"main","alpha=1, n=500",1,500,0,NA,"P-IG Gibbs",200,2,0.0156943156658579,0.0013889325736351,0.00133984133363495,0.000229921466428975,0.138230245222491,33.7860313174052,0.705356908052754,0.0302670487899271,0.5,20.448,20.6496,0.050948840391339
"main","alpha=2, n=10",2,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1.05271153463888
"main","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs",200,2,0.0318225239775205,0.0039090100403147,0.0775390196558314,0.0161047298410521,0.0423886685060254,91.6692523656939,0.899376681540978,0.319696792120293,1,2.327,2.4142,1.07334133830535
"main","alpha=2, n=50",2,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.41416050227208
"main","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs",200,2,0.0294264111048279,0.0071634735672375,0.0229923616396843,0.0016677364835344,0.0641626866336567,79.1079958430771,0.867324238337664,0.232662650601395,1,4.21,4.49,0.43284922334837
"main","alpha=2, n=500",2,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.06338226725888
"main","alpha=2, n=500",2,500,0,NA,"P-IG Gibbs",200,2,0.031021169178194,0.0160950722251706,0.00811069159605442,0.00479237529401417,0.0571260368656892,13.8941896369224,0.856429362983849,0.239722716597833,1,20.558,20.6364,0.069730275029255
"main","alpha=20, n=10",20,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,23.2548093257632
"main","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs",200,2,0.141463676834671,0.032735205379202,4.19440264952875,1.3359157882765,0.00218314044460369,4.43806123874852,0.994427295392503,0.949473552902589,0.5,2.449,2.5954,20.71777051499
"main","alpha=20, n=50",20,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-1.5314181640283
"main","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs",200,2,0.0872890054833582,0.0273261616197868,0.654036520341042,0.272019861377034,0.00351167351983816,3.90472371186473,0.991261848032265,0.913210023580941,1,4.567,4.711,-1.55592976519895
"main","alpha=20, n=500",20,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.1201899338381
"main","alpha=20, n=500",20,500,0,NA,"P-IG Gibbs",200,2,0.177564646976686,0.0505172337279495,0.456350995778482,0.1374855808516,0.00529058356893978,1.26467186545333,0.986450823187754,0.87779263103156,1,20.871,21.275,0.45591184022715
"main","alpha=5, n=10",5,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.00845257190695481
"main","alpha=5, n=10",5,10,0,NA,"P-IG Gibbs",200,2,0.0679308881404972,0.0421368757642447,0.366434821446578,0.315743273379396,0.0302261293469474,62.7456808001683,0.931321478681312,0.521939258569559,1,2.3685,2.4409,0.34872862684276
"main","alpha=5, n=50",5,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,1.27609010513899
"main","alpha=5, n=50",5,50,0,NA,"P-IG Gibbs",200,2,0.085890111301578,0.0180166538176141,0.241915431800654,0.092125289250774,0.0162123127077056,17.990206366163,0.959447589925219,0.688071620938067,0.5,4.566,4.6716,1.36630235322388
"main","alpha=5, n=500",5,500,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.054056880901395
"main","alpha=5, n=500",5,500,0,NA,"P-IG Gibbs",200,2,0.0384261242562642,0.01249275899339,0.0221935011241646,0.00713301425772405,0.0170413195306995,4.24262309052284,0.958277509469198,0.66039747534062,1,20.0695,20.4299,-0.066930738701735
"prior","delta=0.5, center=0.5",2,30,0.5,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.38791464593126
"prior","delta=0.5, center=10",2,30,0.5,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0519788343064751
"prior","delta=0.5, center=2",2,30,0.5,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.236268721771725
"prior","delta=10, center=0.5",2,30,10,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.054182796347
"prior","delta=10, center=0.5",2,30,10,0.5,"P-IG Gibbs",200,2,0.0165514382647065,0.00643987004528575,0.00594725857250607,0.00309324853453421,0.17838753198893,326.213459788254,0.635741869238857,-0.00644660596740777,0,2.7315,2.7583,-1.05940946861276
"prior","delta=10, center=10",2,30,10,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-0.949930336991555
"prior","delta=10, center=10",2,30,10,10,"P-IG Gibbs",200,2,0.032188387493074,0.00863712878166235,0.011035573882836,0.00160684163570808,0.151374784577797,225.065520294756,0.681882749405538,0.0372367187442121,0,3.6155,4.2991,-0.94844549907963
"prior","delta=10, center=2",2,30,10,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.24949887943165
"prior","delta=10, center=2",2,30,10,2,"P-IG Gibbs",200,2,0.0204077242872733,0.0007698033198528,0.0192136676828586,0.00075003261253785,0.0530975663009927,95.6372288510435,0.875489735037094,0.219624828106366,1,2.778,2.8276,0.244376935790785
"prior","delta=2.5, center=0.5",2,30,2.5,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.04055452193541
"prior","delta=2.5, center=10",2,30,2.5,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-0.80389554772568
