"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"damsleth","Damsleth n=5",5,5,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.24120680941217
"damsleth","Damsleth n=5",5,5,0,NA,"P-IG Gibbs",200,1,0.0753606243925977,0,0.246544444089467,0,0.0270305009242399,93.5311450665741,0.934553162747711,0.539459359590374,1,0.289,0.289,-0.40089664323853
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.002995617163776
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"P-IG Gibbs",200,1,0.0252201809445063,0,0.00035865761324193,0,0.697733899608982,826.698933185998,0.0676572726323999,-0.042317214997113,1,0.844,0.844,0.00308776315588299
"main","alpha=0.5, n=10",0.5,10,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.295493776180798
"main","alpha=0.5, n=10",0.5,10,0,NA,"P-IG Gibbs",200,1,0.0257081327269993,0,0.0140797264317983,0,0.258690409795673,998.804671025764,0.510838495823701,0.0490061945099602,1,0.259,0.259,0.28085269043312
"prior","delta=0.5, center=10",2,30,0.5,10,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.12826282239141
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.0271485107624885
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=10",10,1,0.0257227150545709,0,0.000992304775545681,0,0.8,19512.1951219513,0.00503400993733827,0.00359025246010626,1,0.0409999999999999,0.0409999999999999,-0.0265816594217103
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=20",20,1,0.0165041371142439,0,0.000662175987862998,0,0.8,21052.6315789473,0.0207761639332563,-0.00412555320589165,1,0.038,0.038,-0.0278060883000576
