"task_id","suite","scenario","rep","alpha_true","n","prior_delta","prior_center","fixed_stats","x_a","x_g","delta_post","mu_ratio","truth_mode","method","status","ks","w1","mean","var","ci_low","ci_high","cover","ess","ess_per_iter","ess_per_sec","acf1","acf10","runtime_sec","accept_rate","avg_evals","pig_N","n_save","message"
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Numerical grid","ok",0,0,4.75879319058783,5.37883300452027,1.37006501823764,10.2138503917627,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Miller-Gamma","ok",0.00266472785158924,0.0156790636263071,4.73160471529254,5.37199808389207,1.33462208937777,10.2389121528327,TRUE,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Miller-IMH","ok",0.158531078081447,0.481230551127986,4.2387911675017,4.29164153664456,1.0192329842153,9.58783549257832,TRUE,80,0.8,1818.18181818182,-0.022513303789967,-0.068491241256101,0.044,0.99,NA,NA,80,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Stirling-Gamma","ok",0.0194213742338592,0.0914541708238477,4.63411088752852,5.3687459294776,1.26263924846552,10.1571288966071,TRUE,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"Slice-log-alpha","ok",0.135910923137687,0.496414233960906,4.77991433447937,8.06045312032115,1.39447239048037,12.0108927402995,TRUE,136.718705522657,1.36718705522657,5696.61273011069,0.107984200462374,-0.0850077662206732,0.024,NA,4.28,NA,80,""
1,"damsleth","Damsleth n=5",1,5,5,0,NA,TRUE,7.19,6.05,5,1.18842975206612,4.73157363452889,"P-IG Gibbs","ok",0.991888107259196,4.34702747033482,0.37299424829487,0.0140157192672106,0.136264479496133,0.635864423314873,FALSE,53.3839391249011,0.533839391249011,1570.11585661474,0.193421129369919,0.0161085194647205,0.034,NA,NA,10,80,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"Numerical grid","ok",0,0,0.795493776180798,0.0763665920796361,0.354339965655191,1.42081766872223,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"Miller-Gamma","ok",0.00567658059225759,0.00361599473783801,0.788303477841363,0.0756540614922366,0.344888457369209,1.4118547056411,TRUE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"Miller-IMH","ok",0.110396137433567,0.0505907317109196,0.810871093038467,0.0612827575281174,0.399443355429449,1.36716930186698,TRUE,80,0.8,79999.9999999999,0.128902660507679,-0.148584733647205,0.001,0.98,NA,NA,80,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"Stirling-Gamma","ok",0.159434998763759,0.102837856488987,0.68908295557269,0.0730515876401221,0.265495738954191,1.3111449016913,TRUE,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"Slice-log-alpha","ok",0.0520353933744924,0.0232789859708263,0.80715763285401,0.078822051844178,0.426497430996152,1.43796806768817,TRUE,80,0.8,20000,0.0789904245285803,0.0321450263298305,0.004,NA,3.8,NA,80,""
2,"main","alpha=0.5, n=10",1,0.5,10,0,NA,FALSE,0.821866199255218,0.319991666080907,10,2.56839876275845,0.788299994326254,"P-IG Gibbs","ok",0.894033383804206,0.484869815779067,0.306536976614278,0.00712234680776389,0.161762143421447,0.467622781815703,FALSE,121.7709581561,1.217709581561,60885.4790780498,0.163879724772314,-0.0174303032304044,0.002,NA,NA,10,80,""
