"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"damsleth","Damsleth n=5",5,5,0,NA,"Miller-Gamma",NA,1,0.00266472785158924,0,0.0156790636263071,0,NA,NA,NA,NA,1,0.02,0.02,-0.268395284707465
"damsleth","Damsleth n=5",5,5,0,NA,"Miller-IMH",NA,1,0.158531078081447,0,0.481230551127986,0,0.8,1818.18181818182,-0.022513303789967,-0.068491241256101,1,0.044,0.044,-0.761208832498297
"damsleth","Damsleth n=5",5,5,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.241206809412166
"damsleth","Damsleth n=5",5,5,0,NA,"P-IG Gibbs",10,1,0.991888107259196,0,4.34702747033482,0,0.533839391249011,1570.11585661474,0.193421129369919,0.0161085194647205,0,0.034,0.034,-4.62700575170513
"damsleth","Damsleth n=5",5,5,0,NA,"Slice-log-alpha",NA,1,0.135910923137687,0,0.496414233960906,0,1.36718705522657,5696.61273011069,0.107984200462374,-0.0850077662206732,1,0.024,0.024,-0.220085665520633
"damsleth","Damsleth n=5",5,5,0,NA,"Stirling-Gamma",NA,1,0.0194213742338592,0,0.0914541708238477,0,NA,NA,NA,NA,1,0.004,0.004,-0.365889112471476
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Miller-Gamma",NA,1,0.00464667731825907,0,0.000110097051447276,0,NA,NA,NA,NA,1,0,0,0.00295106423255541
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Miller-IMH",NA,1,0.10059888156352,0,0.00152749879296773,0,1.21026444046664,121026.444046664,-0.210181023785,-0.0499650796801441,1,0.001,0.001,0.00423553520359583
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.0029956171637763
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Slice-log-alpha",NA,1,0.0817558255449231,0,0.00142170177347633,0,1.1326036536416,37753.4551213865,0.0680616747490761,-0.0772351665213694,1,0.003,0.003,0.00402684455253935
"extreme","alpha=0.1, n=100",0.1,100,0,NA,"Stirling-Gamma",NA,1,0.949872068265357,0,0.0385008358298516,0,NA,NA,NA,NA,0,0,0,-0.0356595770939266
"main","alpha=0.5, n=10",0.5,10,0,NA,"Miller-Gamma",NA,1,0.00567658059225759,0,0.00361599473783801,0,NA,NA,NA,NA,1,0,0,0.288303477841363
"main","alpha=0.5, n=10",0.5,10,0,NA,"Miller-IMH",NA,1,0.110396137433567,0,0.0505907317109196,0,0.8,79999.9999999999,0.128902660507679,-0.148584733647205,1,0.001,0.001,0.310871093038467
"main","alpha=0.5, n=10",0.5,10,0,NA,"Numerical grid",NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.295493776180798
"main","alpha=0.5, n=10",0.5,10,0,NA,"P-IG Gibbs",10,1,0.894033383804206,0,0.484869815779067,0,1.217709581561,60885.4790780498,0.163879724772314,-0.0174303032304044,0,0.002,0.002,-0.193463023385722
